text,label,io_confidence,org_confidence,nci_score,top_indicators,platform,timestamp
"Donald J. Trump Sadly, if you import people from Third World Countries, you quickly become a Third World Country — And there’s not a thing you can do about it. MAKE AMERICA GREAT AGAIN! President DONALD J. TRUMP 1.58k 6.02k",IO,1.0,0.0,0,,Truth Social,2026-06-15T09:55:39.069571
"Donald J. Trump ‘Thank You, President Trump’: Reflecting Pool in D.C. Wows After Trump Renovations: breitbart.com/politics/2026/06 'Thank You President Trump': Reflecting Pool in D.C. Wows After Trump Renovations The Reflecting Pool in Washington, DC, is wowing skeptics after months of criticism from the radical left. 4.12k",Organic,0.0,1.0,1,3,Truth Social,2026-06-15T09:55:39.313226
"Donald J. Trump Trump makes a splash with Oval Office chart comparing reflecting pool to skyscrapers: washingtonexaminer.com/news/wh Trump makes a splash with Oval Office reflecting pool chart Trump surprised reporters with a new chart in the Oval Office Wednesday, comparing one of his D.C. renovation projects to other notable American landmarks. 2.83k",Organic,0.0,1.0,0,,Truth Social,2026-06-15T09:55:41.517018
"Donald J. Trump U.S. Counts Far More Hormuz Ship Transits Than Commercial Tracking Data Shows: gcaptain.com/u-s-counts-far-mo gcaptain.com U.S. Counts Far More Hormuz Ship Transits Than Commercial Tracking Data Shows American forces have counted nearly 1,000 commercial vessel transits in and out of the Strait of Hormuz in the last two months, according to an official familiar with US Central Command operations, a figure… 2.79k",Organic,0.001,0.999,0,,Truth Social,2026-06-15T09:55:43.747423
Donald J. Trump Dems replace ‘mother’ with ‘gestating parent’ in latest woke rewrite of NY law: nypost.com/2026/06/03/us-news/ nypost.com Dems replace ‘mother’ with ‘gestating parent’ in latest woke rewrite of NY law A “putative father” in paternity proceedings would now be defined as “an alleged parent” under the bill. 1.96k,Organic,0.0,1.0,1,18,Truth Social,2026-06-15T09:55:44.075863
"Donald J. Trump Ships are starting to move, many loaded up with Oil, out of the Strait of Hormuz. They are going along the Southern “Highway,” which is totally safe, secure, and pristine. There are other areas of travel, also!!! President DJT 1.02k 4.37k",IO,1.0,0.0,0,,Truth Social,2026-06-15T09:55:47.078849
Donald J. Trump 3.43k,IO,0.996,0.004,0,,Truth Social,2026-06-15T09:55:51.287308
"Donald J. Trump ReTruthed Donald J. Trump Trump scores once-elusive peace deal with Iran, easing oil prices ahead of elections: justthenews.com/government/sec justthenews.com Trump scores once-elusive peace deal with Iran, easing oil prices ahead of elections The terms of the agreement were unavailable as of Sunday night, but a top Pakistan mediator said both sides have declared the immediate and permanent termination of all military operations. 1.58k 6.12k",Organic,0.0,1.0,0,,Truth Social,2026-06-15T09:55:51.709525
"Donald J. Trump ReTruthed Donald J. Trump Under the disastrous Open Border Policy of Crooked Joe Biden and his traitorous DHS Secretary Alejandro Mayorkas, TENS OF MILLIONS of criminals, including over 13,000 STONE-COLD MURDERERS, poured into our Country from Prisons and Jails, from Mental Institutions and Insane Asylums. Needless to say, they were NOT always the safest drivers! Car Insurance Premiums rose to RECORD HIGHS, forcing Law-abiding American Citizens to subsidize the ""free riding” Biden Illegals. ",IO,1.0,0.0,2,6,Truth Social,2026-06-15T09:55:54.156652
"Donald J. Trump Under the disastrous Open Border Policy of Crooked Joe Biden and his traitorous DHS Secretary Alejandro Mayorkas, TENS OF MILLIONS of criminals, including over 13,000 STONE-COLD MURDERERS, poured into our Country from Prisons and Jails, from Mental Institutions and Insane Asylums. Needless to say, they were NOT always the safest drivers! Car Insurance Premiums rose to RECORD HIGHS, forcing Law-abiding American Citizens to subsidize the ""free riding” Biden Illegals. After over a year of ZERO ",IO,1.0,0.0,2,6,Truth Social,2026-06-15T09:55:55.944215
"Donald J. Trump ReTruthed Donald J. Trump On July 4th, at The Lincoln Memorial and Washington Monument, in beautiful and safe Washington D.C., we are going to host the most spectacular TRUMP RALLY of them all, a “TRIBUTE TO AMERICA.” Starting at 7 P.M. EST, this HUGE Celebration will honor our Country's People, Spirit, Strength, Resolve, and Triumphs. With the backdrop of the Lincoln Memorial and surrounding the beautifully new Reflecting Pool, more than 300 Members of our strong and talented Military Bands",IO,1.0,0.0,1,6,Truth Social,2026-06-15T09:56:06.654157
"Donald J. Trump ReTruthed Donald J. Trump Wednesday, June 24th, will be the “kick off” of our summer long Celebration of 250 Years of American Independence! Come and enjoy a night filled with beautiful music from our talented U.S. Army and Marine Corps Military Bands (ONLY THE HITS THAT YOU KNOW AND LOVE!), the highly gifted Christopher Macchio, and our friend, Lee Greenwood, performing the Greatest Hit of All Time, GOD BLESS THE U.S.A. You will also bear witness to impressive Military flyovers featuring pr",IO,0.999,0.001,0,,Truth Social,2026-06-15T09:56:07.013138
"Donald J. Trump ReTruthed Donald J. Trump The UFC at the White House last night was incredible. The weather was scheduled to be horrendous, and it turned out to be PERFECT! So much for weather predicting. The Fighters were outstanding — Bo Nickal, Justin Gaethje, Ciryl Gane, Sean O’Malley, Josh Hokit, Mauricio Ruffy, and Diego Lopes were all unbelievable! Most people have never seen anything like that kind of human speed and power before. The White House has never looked more beautiful. The setting was unsu",IO,0.997,0.003,1,9,Truth Social,2026-06-15T09:56:08.188780
"Donald J. Trump Wednesday, June 24th, will be the “kick off” of our summer long Celebration of 250 Years of American Independence! Come and enjoy a night filled with beautiful music from our talented U.S. Army and Marine Corps Military Bands (ONLY THE HITS THAT YOU KNOW AND LOVE!), the highly gifted Christopher Macchio, and our friend, Lee Greenwood, performing the Greatest Hit of All Time, GOD BLESS THE U.S.A. You will also bear witness to impressive Military flyovers featuring precision Fighter Jets and S",IO,1.0,0.0,0,,Truth Social,2026-06-15T09:56:08.923599
